id,machine_name,device_type,device_label,vendor,cpu_model,gpu_model,os_name,os_version,driver_version,total_ram_gb,notes,created_at,gpu_category
08fe8f61-2035-4ccd-918a-c480b7a1ae95,ola,cuda,NVIDIA GeForce RTX 3050 Ti Laptop GPU,nvidia,AMD Ryzen 7 5800HS with Radeon Graphics,NVIDIA GeForce RTX 3050 Ti Laptop GPU,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,12.4,14.52,,2026-09-01 07:01:00.704997+00,discrete
0c05d5e8-a4e7-451a-a98b-b0a713fff833,artur-MS-7B86,npu_openvino,Intel(R) AI Boost,intel,Intel(R) Core(TM) Ultra 7 155H,Intel(R) AI Boost,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,2026.3.1-22476-759c5a6ab8c-releases/2026/3,14.64,,2026-09-03 20:57:44.797828+00,
0e65247e-2f8d-4a8e-8f62-874936a4165f,wojtek,rocm,AMD Radeon RX 9070 XT,amd,AMD Ryzen 7 7700 8-Core Processor,AMD Radeon RX 9070 XT,Linux,#31-Ubuntu SMP PREEMPT_DYNAMIC Sat Aug  1 04:26:38 UTC 2026,7.15.26333,29.96,,2026-09-05 14:10:15.057264+00,discrete
11f86b85-a6ca-47af-88de-71e216296bc4,0c1d95717c34,cuda,NVIDIA GeForce RTX 5060 Ti,nvidia,AMD EPYC 7302P 16-Core Processor,NVIDIA GeForce RTX 5060 Ti,Linux,#187-Ubuntu SMP Sat Apr 11 22:54:33 UTC 2026,12.8,109.91,,2026-09-12 12:04:24.229603+00,discrete
1426dcef-ccd8-4abb-ab92-b5abde91f054,8bd2e20654d2,cuda,NVIDIA GeForce RTX 5090,nvidia,AMD Ryzen 7 7800X3D 8-Core Processor,NVIDIA GeForce RTX 5090,Linux,#35~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue May 26 19:30:42 UTC 2,12.8,30.46,,2026-09-12 11:58:26.241097+00,discrete
14549898-2f59-4ce4-bdfb-39fa59e58258,business-dell,cpu,CPU,,13th Gen Intel(R) Core(TM) i5-1335U,,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,,14.8,,2026-09-02 20:07:41.853489+00,
19955f09-7592-46b4-bfa1-18ef8891baca,kamila-galaxybook2pro,cpu,CPU,,12th Gen Intel(R) Core(TM) i7-1260P,,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,,14.73,,2026-08-27 17:14:55.61013+00,
2cc07cbd-c349-4f63-a033-a42aa01ba446,business-dell,intel_gpu_openvino,Intel(R) Iris(R) Xe Graphics (iGPU),intel,13th Gen Intel(R) Core(TM) i5-1335U,Intel(R) Iris(R) Xe Graphics (iGPU),Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,2026.3.1-22476-759c5a6ab8c-releases/2026/3,14.8,,2026-09-03 16:43:29.035439+00,integrated
3a90611f-68c8-44ab-8937-4fb901a94753,wojtek,cpu,CPU,,AMD Ryzen 7 7700 8-Core Processor,,Linux,#31-Ubuntu SMP PREEMPT_DYNAMIC Sat Aug  1 04:26:38 UTC 2026,,29.96,,2026-09-05 15:16:26.375537+00,
3caa07b3-6b26-4e2e-9bad-45023aab7b18,bartek-PC,cpu,CPU,,AMD Ryzen 5 5600X 6-Core Processor,,Linux,#31-Ubuntu SMP PREEMPT_DYNAMIC Sat Aug  1 04:26:38 UTC 2026,,30.26,,2026-09-06 15:23:09.213227+00,
4141712b-6d4e-4981-804e-3c10d16cabe4,987d5915aaac,cuda,NVIDIA GeForce RTX 3090,nvidia,AMD EPYC 7443 24-Core Processor,NVIDIA GeForce RTX 3090,Linux,#136-Ubuntu SMP PREEMPT_DYNAMIC Wed Jul  1 21:53:05 UTC 2026,12.1,251.55,,2026-09-10 21:28:24.567791+00,discrete
4d0946c6-2bf7-4cab-8faf-5c88baed252c,artur-PC,rocm,AMD Radeon RX 7800 XT,amd,AMD Ryzen 7 5700X3D 8-Core Processor,AMD Radeon RX 7800 XT,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,7.15.26333,30.26,,2026-09-02 18:18:51.010699+00,discrete
58d0228d-cb36-45dc-b1b0-0c91b0bdbffc,milosz-PC,cuda,NVIDIA GeForce RTX 5070 Ti,nvidia,AMD Ryzen 7 7800X3D 8-Core Processor,NVIDIA GeForce RTX 5070 Ti,Linux,#31-Ubuntu SMP PREEMPT_DYNAMIC Sat Aug  1 04:26:38 UTC 2026,12.8,29.96,,2026-09-06 12:05:06.581527+00,discrete
6963c491-4ef8-46a0-92f5-98b9b2b886e9,proksza-legion-slim5,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,nvidia,AMD Ryzen 7 7840HS with Radeon 780M Graphics,NVIDIA GeForce RTX 4060 Laptop GPU,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,12.4,30.04,,2026-08-29 06:31:20.340748+00,discrete
7cb1ff96-e79f-4122-88aa-ee7b680103b1,ola,amd_igpu,AMD Radeon Graphics,amd,AMD Ryzen 7 5800HS with Radeon Graphics,AMD Radeon Graphics,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,6.2.41133-dd7f95766,14.52,,2026-09-01 12:57:17.508918+00,integrated
85d023c9-3151-497a-929e-112fc094b2c7,bartek-PC,rocm,AMD Radeon RX 9060 XT,amd,AMD Ryzen 5 5600X 6-Core Processor,AMD Radeon RX 9060 XT,Linux,#31-Ubuntu SMP PREEMPT_DYNAMIC Sat Aug  1 04:26:38 UTC 2026,7.15.26333,30.26,,2026-09-06 14:56:00.537142+00,discrete
8b543ae8-8055-4018-93aa-b0d625f0f326,milosz-PC,cpu,CPU,,AMD Ryzen 7 7800X3D 8-Core Processor,,Linux,#31-Ubuntu SMP PREEMPT_DYNAMIC Sat Aug  1 04:26:38 UTC 2026,,29.96,,2026-09-06 12:42:04.130919+00,
9576ac27-a4ae-457b-8b6c-7e44c0703a0e,372951fbefe8,cuda,NVIDIA GeForce RTX 4090,nvidia,13th Gen Intel(R) Core(TM) i9-13900KF,NVIDIA GeForce RTX 4090,Linux,#149~20.04.1-Ubuntu SMP Wed Apr 16 08:29:56 UTC 2025,12.1,62.55,,2026-09-12 11:52:28.604806+00,discrete
