id,machine_name,device_type,device_label,vendor,cpu_model,gpu_model,os_name,os_version,driver_version,total_ram_gb,notes,created_at,gpu_category
08fe8f61-2035-4ccd-918a-c480b7a1ae95,ola,cuda,NVIDIA GeForce RTX 3050 Ti Laptop GPU,nvidia,AMD Ryzen 7 5800HS with Radeon Graphics,NVIDIA GeForce RTX 3050 Ti Laptop GPU,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,12.4,14.52,,2026-09-01 07:01:00.704997+00,discrete
0c05d5e8-a4e7-451a-a98b-b0a713fff833,artur-MS-7B86,npu_openvino,Intel(R) AI Boost,intel,Intel(R) Core(TM) Ultra 7 155H,Intel(R) AI Boost,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,2026.3.1-22476-759c5a6ab8c-releases/2026/3,14.64,,2026-09-03 20:57:44.797828+00,
14549898-2f59-4ce4-bdfb-39fa59e58258,business-dell,cpu,CPU,,13th Gen Intel(R) Core(TM) i5-1335U,,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,,14.8,,2026-09-02 20:07:41.853489+00,
19955f09-7592-46b4-bfa1-18ef8891baca,kamila-galaxybook2pro,cpu,CPU,,12th Gen Intel(R) Core(TM) i7-1260P,,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,,14.73,,2026-08-27 17:14:55.61013+00,
2cc07cbd-c349-4f63-a033-a42aa01ba446,business-dell,intel_gpu_openvino,Intel(R) Iris(R) Xe Graphics (iGPU),intel,13th Gen Intel(R) Core(TM) i5-1335U,Intel(R) Iris(R) Xe Graphics (iGPU),Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,2026.3.1-22476-759c5a6ab8c-releases/2026/3,14.8,,2026-09-03 16:43:29.035439+00,integrated
4d0946c6-2bf7-4cab-8faf-5c88baed252c,artur-PC,rocm,AMD Radeon RX 7800 XT,amd,AMD Ryzen 7 5700X3D 8-Core Processor,AMD Radeon RX 7800 XT,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,7.15.26333,30.26,,2026-09-02 18:18:51.010699+00,discrete
6963c491-4ef8-46a0-92f5-98b9b2b886e9,proksza-legion-slim5,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,nvidia,AMD Ryzen 7 7840HS with Radeon 780M Graphics,NVIDIA GeForce RTX 4060 Laptop GPU,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,12.4,30.04,,2026-08-29 06:31:20.340748+00,discrete
7cb1ff96-e79f-4122-88aa-ee7b680103b1,ola,amd_igpu,AMD Radeon Graphics,amd,AMD Ryzen 7 5800HS with Radeon Graphics,AMD Radeon Graphics,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,6.2.41133-dd7f95766,14.52,,2026-09-01 12:57:17.508918+00,integrated
9ab0fac5-67d0-4f80-af87-46d3fe2d8858,artur-PC,cpu,CPU,,AMD Ryzen 7 5700X3D 8-Core Processor,,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,,30.26,,2026-09-01 19:30:40.875768+00,
9d25e756-1d19-4ac5-b235-29fc900e0f15,ola,cpu,CPU,,AMD Ryzen 7 5800HS with Radeon Graphics,,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,,14.52,,2026-09-01 13:13:27.476525+00,
b09133c7-cd71-4325-93b2-ce2fb0b9d2c7,proksza-legion-slim5,cpu,CPU,,AMD Ryzen 7 7840HS with Radeon 780M Graphics,,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,,30.04,,2026-08-28 21:47:14.379553+00,
b549c125-f311-4d9b-84de-49fb420e4758,kamila-galaxybook2pro,intel_gpu_openvino,Intel(R) Iris(R) Xe Graphics (iGPU),intel,12th Gen Intel(R) Core(TM) i7-1260P,Intel(R) Iris(R) Xe Graphics (iGPU),Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,2026.3.0-22451-8a17657b995-releases/2026/3,14.73,,2026-08-27 18:47:21.479418+00,integrated
b6018111-a0cf-43df-b0ba-da673ff9757b,artur-MS-7B86,intel_gpu_openvino,Intel(R) Arc(TM) Graphics (iGPU),intel,Intel(R) Core(TM) Ultra 7 155H,Intel(R) Arc(TM) Graphics (iGPU),Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,2026.3.0-22451-8a17657b995-releases/2026/3,14.64,,2026-08-20 11:14:11.89554+00,integrated
b6188ef9-c186-46f5-91b6-8d52e3d26044,proksza-legion-slim5,amd_igpu,AMD Radeon 780M Graphics,amd,AMD Ryzen 7 7840HS with Radeon 780M Graphics,AMD Radeon 780M Graphics,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,7.15.26333,30.04,,2026-09-03 15:18:08.387869+00,integrated
d504bfe6-a358-43f6-8c01-6c324781ad02,artur-MS-7B86,cpu,CPU,,Intel(R) Core(TM) Ultra 7 155H,,Linux,#30-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 31 18:22:54 UTC 2026,,14.64,,2026-08-20 18:55:20.334417+00,
