repetition_group_id,task,model_name,device_id,precision,batch_size,phase,n_repetitions,mean_duration_s,std_duration_s,mean_energy_joules,std_energy_joules,coefficient_of_variation_energy,computed_at
007de07f-c984-40d4-be17-20a1e9dd9d72,image_classification,mobilenet_v3,19955f09-7592-46b4-bfa1-18ef8891baca,fp16,1,inference,3,2.9727763466666297,0.6164456426555897,114.74216956420739,25.810049225263732,0.2249395259239974,2026-08-27 17:19:45.1304+00
0099a481-c2f4-45b6-a550-73cb44290020,nlp_sentiment,distilbert-base-uncased,9ab0fac5-67d0-4f80-af87-46d3fe2d8858,fp32,4,inference,3,2.380119570666769,0.005732709049141864,157.12326452267055,74.88238256519348,0.476583673287854,2026-09-01 21:39:10.693414+00
00be7cbe-f9e5-404a-9903-262c52d1a60a,image_classification,mobilenet_v3,4d0946c6-2bf7-4cab-8faf-5c88baed252c,fp16,32,train,3,8.937017474000035,9.613901412637604,361.83185266666675,173.36822096997366,0.479140295947596,2026-09-02 18:25:41.576805+00
00f02962-580d-43c3-a765-5f060d0f9c1b,nlp_sentiment,distilbert-base-uncased,d504bfe6-a358-43f6-8c01-6c324781ad02,int8,8,inference,3,7.653289946665609,0.25451908838555076,168.51822290001058,5.958215486100946,0.03535650556697493,2026-09-02 16:19:46.73026+00
02cd5794-6ff4-4343-b57d-4b370d476547,nlp_sentiment,distilbert-base-uncased,6963c491-4ef8-46a0-92f5-98b9b2b886e9,fp32,8,inference,3,3.652080145999207,0.11651797469587098,98.74311337099999,2.2683600910472896,0.022972337144409785,2026-08-29 06:55:53.591425+00
03e102a9-f9e5-4bf8-b5ea-c09fbc93c5e3,image_classification,mobilenet_v3,14549898-2f59-4ce4-bdfb-39fa59e58258,fp16,1,inference,3,3.3827908809999676,0.19969893580185505,142.32772115389108,8.228141288916905,0.05781123467873326,2026-09-02 20:12:23.659435+00
04cbcaaf-a9f4-45d3-9152-8330fcb393f1,image_classification,resnet50,9ab0fac5-67d0-4f80-af87-46d3fe2d8858,int8,64,inference,2,5.270815018000576,0.030789337027125913,242.41456086728812,4.583964128617606,0.018909607212609376,2026-09-01 20:06:51.122257+00
04d6d59b-40f6-4fb3-aa81-6c5581fd72ac,image_classification,mobilenet_v3,9ab0fac5-67d0-4f80-af87-46d3fe2d8858,fp32,32,train,3,6.4898102056667994,0.06445487949058097,309.7096375104497,15.260428713813791,0.04927334143193687,2026-09-01 19:32:56.458417+00
04d9d78a-1a8c-433b-b927-8e4298349235,image_classification,resnet50,9d25e756-1d19-4ac5-b235-29fc900e0f15,fp32,64,inference,2,12.343305032499984,0.011437250660283638,838.3714029386035,148.80793859260766,0.17749643901380224,2026-09-01 13:52:50.049112+00
07152d50-19c0-4fc2-94dc-1ffabd6fc5da,image_classification,resnet50,14549898-2f59-4ce4-bdfb-39fa59e58258,int8,4,inference,2,2.7489210855001147,0.019320103926758977,112.85161169228385,1.4668210603280358,0.012997785661472557,2026-09-02 21:11:45.184089+00
094917d7-4650-4b65-a7a3-19712833ed1c,image_classification,mobilenet_v3,19955f09-7592-46b4-bfa1-18ef8891baca,fp16,64,train,3,9.192045329333268,0.6609825430872247,360.84047377091963,26.43076843021972,0.07324779328108119,2026-08-27 17:24:17.175994+00
09a370c9-348a-472d-997a-6b205b8f1e29,image_classification,mobilenet_v3,9d25e756-1d19-4ac5-b235-29fc900e0f15,fp32,4,inference,3,4.634206274666819,0.038125160995501214,195.47651401296656,36.14994870117675,0.18493244001056214,2026-09-01 13:15:51.082156+00
0a14115a-1de3-462f-9336-aeed20be3f56,image_classification,resnet50,19955f09-7592-46b4-bfa1-18ef8891baca,fp32,1,inference,2,4.768306088999907,0.5565409659057415,125.57591783642971,64.90550022346892,0.5168626384878372,2026-08-27 17:37:13.46034+00
0a9088f6-12e7-4330-ab88-dc2fcc526b34,image_classification,mobilenet_v3,d504bfe6-a358-43f6-8c01-6c324781ad02,fp16,32,train,3,14.868569700667043,0.9036615911323084,324.34682395857874,20.570205066903522,0.06342039923760892,2026-08-20 19:07:00.449951+00
0ae1a04b-334d-43da-a105-c63f40c0505f,image_classification,resnet50,9d25e756-1d19-4ac5-b235-29fc900e0f15,fp32,4,inference,2,11.407184926500122,0.8171226593675522,628.2032930145425,128.42143026960946,0.2044265474212288,2026-09-01 13:37:25.028902+00
0baebfce-f477-44e5-9de8-57fdecf652ac,image_classification,resnet50,9ab0fac5-67d0-4f80-af87-46d3fe2d8858,fp16,32,train,2,93.10702097249987,2.8650963212382408,3945.7726776066893,139.12222594983527,0.03525855068625493,2026-09-01 20:01:03.314466+00
0bed0a03-3b8b-42c1-98ea-4d62b86bc8a3,image_classification,mobilenet_v3,9d25e756-1d19-4ac5-b235-29fc900e0f15,int8,32,inference,3,1.7269289586665764,0.01127293819745309,45.57101353637603,0.0,0.0,2026-09-01 13:22:03.231952+00
0cad8b00-b2d8-4bc1-ad30-e9151fbc5211,image_classification,resnet50,0c05d5e8-a4e7-451a-a98b-b0a713fff833,fp32,1,inference,2,2.6268986904999565,0.523980147493741,85.25830231138174,18.730428700736248,0.2196903784493465,2026-09-03 21:00:27.048102+00
0cdbc09f-9aae-413e-8311-d015f1a8e05b,image_classification,resnet50,b09133c7-cd71-4325-93b2-ce2fb0b9d2c7,fp32,4,train,2,586.2367066119987,18.982293172856206,48601.36812369882,1522.118708452479,0.03131843335311932,2026-08-29 07:33:41.675328+00
0cdf6ca2-d96b-4fd8-856d-81f82bd05ea0,image_classification,resnet50,b6188ef9-c186-46f5-91b6-8d52e3d26044,fp16,64,inference,2,4.9745150960000615,1.7861616202869062,145.76734447925,59.88245374792844,0.4108084287455255,2026-09-03 15:22:05.688968+00
0d684c20-c126-4ab4-848b-3e0ce6b7c653,image_classification,resnet50,9ab0fac5-67d0-4f80-af87-46d3fe2d8858,fp16,4,train,2,135.47108655600005,0.11094426200855426,5761.597571256096,5.293359997863428,0.000918731294992096,2026-09-01 19:57:35.066524+00
0da536e8-786c-440b-8ced-fb31c796c1aa,image_classification,mobilenet_v3,4d0946c6-2bf7-4cab-8faf-5c88baed252c,fp16,32,inference,3,2.296423495999837,0.037484875305023625,132.32366933333336,7.644461985181418,0.057770934132157704,2026-09-02 18:25:55.882424+00
0e267f49-4b30-4724-bf60-3a63f7e72b42,image_classification,resnet50,19955f09-7592-46b4-bfa1-18ef8891baca,fp16,4,inference,2,2.8981800625001597,0.06649669717665777,110.39158217899919,4.777193964169482,0.0432749841054302,2026-08-27 18:11:17.210068+00
0e3228a0-395a-4cf5-86ff-bf60e65545cb,image_classification,resnet50,19955f09-7592-46b4-bfa1-18ef8891baca,int8,1,inference,2,3.9813107625000157,0.41811648730649237,154.2175783659337,15.813211767005361,0.10253832237906846,2026-08-27 18:27:20.141027+00
